name,slug,dba,dba_slug,type,url,is_bad_url,street_address,city,state,zip_code,country,lat,lng,phone,email,license_state,license_usda,delivery,sells_seeds,other_license
Cannabis Plus LLC,cannabis-plus-llc,GOODFELLAS,goodfellas,dispensary,https://gf-sf.com/,,Delivery Only,San Francisco,CA,,US,,,(415) 874-8038,Team@cannabisplus.Us,C9-0000359-LIC,,TRUE,FALSE,
Dark Horse 2 Corp,dark-horse-2-corp,Dark Horse,dark-horse,dispensary,https://darkhorse-ny.com/,,15 Centre St,Albany,NY,12207,US,42.65632,-73.74483,(347) 261-0362,,OCM-RETL-24-000073,,TRUE,FALSE,
Full Moon Farms,full-moon-farms,Full Moon Farms,full-moon-farms,cultivator,https://humboldtfamilyfarms.com/full-moon-farms/,,,Humboldt County,CA,,US,,,(707) 672-5141,Huminvestments@yahoo.Com,CCL18-0001943|CCL18-0001942|CCL18-0001940|CCL18-0000089,,TRUE,FALSE,
"Higher Purpose Collective Daly City, LLC",higher-purpose-collective-daly-city-llc,Nectar,nectar,breeder|dispensary,https://nectar.store/,,2468 Junipero Serra Blvd,Daly City,CA,94015,US,37.691682,-122.471394,(503) 729-4891,Ca.Applications@nectarmarkets.Com,C10-0001492-LIC,,TRUE,TRUE,
Nectar Markets Of California LLC,nectar-markets-of-california-llc,Nectar,nectar,breeder|dispensary,https://nectar.store/store/manteca/,,1519 Yosemite Ave,Manteca,CA,95337,US,37.798663,-121.24137,(503) 729-4891,Applications@nectarmarkets.Com,C10-0001543-LIC,,TRUE,TRUE,
Reefer Madness LLC,reefer-madness-llc,Reefer Madness,reefer-madness,breeder|dispensary,https://www.reefermadnesslounge.com/,,4693 Ramon Rd,Palm Springs,CA,92264,US,33.815478,-116.495397,(602) 618-8127,Steven.J.Wijatyk@gmail.Com,C10-0000589-LIC|C12-0000460-LIC,,TRUE,TRUE,
Retail Cm1 LLC,retail-cm1-llc,Nectar,nectar,breeder|dispensary,https://nectar.store/store/costa-mesa/,,2275 Newport Blvd,Costa Mesa,CA,92627,US,33.653356,-117.90796,(503) 805-7523,J.Pratt@nectarpdx.Com,C10-0001080-LIC,,TRUE,TRUE,
"The Hi Collective, Corp.",hi-collective-corp,Dr. Greenthumb,dr-greenthumb,breeder|dispensary,https://doctorgreenthumbs.com/,,"1604 E Clark Ave, Suite 101",Orcutt,CA,93455,US,,,(805) 866-4433,Tsengik@gmail.Com,C10-0001669-LIC,,TRUE,TRUE,
"The Hi Collective, Corp.",hi-collective-corp,Dr. Greenthumb,dr-greenthumb,breeder|dispensary,https://doctorgreenthumbs.com/,,20907 Roscoe Blvd,Canoga Park,CA,91304,US,,,(818) 818-5020,Tsengik@gmail.Com,C10-0001519-LIC,,TRUE,TRUE,
"The Hi Collective, Corp.",hi-collective-corp,Dr. Greenthumb,dr-greenthumb,breeder|dispensary,https://doctorgreenthumbs.com/,,8760 Campo Rd,La Mesa,CA,91941,US,,,(858) 222-2527,Tsengik@gmail.Com,C10-0000422-LIC,,TRUE,TRUE,
"The Hi Collective, Corp.",hi-collective-corp,Dr. Greenthumb,dr-greenthumb,breeder|dispensary,https://doctorgreenthumbs.com/,,1264 N Wishon Ave,Fresno,CA,93728,US,,,(559) 895-0091,Tsengik@gmail.Com,C10-0001101-LIC,,TRUE,TRUE,
"The Hi Collective, Corp.",hi-collective-corp,Dr. Greenthumb,dr-greenthumb,breeder|dispensary,https://doctorgreenthumbs.com/,,2200 N Ashland Ave,Chicago,IL,60614,US,,,(872) 252-7799,Tsengik@gmail.Com,C11-0000943-LIC,,TRUE,TRUE,
The Source Central Coast Inc.,source-central-coast-inc,The Source,source,dispensary,https://thesourcecentralcoast.com/,,Delivery Only,San Luis Obispo,CA,,US,,,(805) 801-0083,contact@thesourceslo.com,C12-0000390-LIC,,TRUE,FALSE,
420 TNT,420-tnt,TNT Farms LLC,tnt-farms-llc,breeder|cultivator|dispensary,https://www.420tnt.com/,,,Mendocino,CA,,US,,,(707) 391-6551,Tntfarms707@gmail.Com,CCL20-0000250,,TRUE,TRUE,
Top Shelf LLC,top-shelf-llc,Top Shelf Express,top-shelf-express,dispensary,https://topshelfexpressdelivery.com/,,Delivery Only,San Francisco,CA,,US,,,(877) 420-0102,Calfarms916@gmail.Com,C9-0000841-LIC|C11-0002002-LIC,,TRUE,FALSE,
Barone Partners LLC,barone-partners-llc,Grounded,grounded,dispensary,https://hvgrounded.com/,,3665 Albany Post Rd,Poughkeepsie,NY,12601,US,41.73946,-73.93028,(845) 240-1244,info@hvgrounded.com,OCM-CAURD-24-000097,,TRUE,FALSE,
