name,dba,slug,type,url,is_bad_url,city,state,zip_code,country,lat,lng,phone,email,license_usda
"1 Tribe, LLC",,1-tribe-llc,cultivator,,,Mount Sidney,VA,24467,US,38.2573517,-78.9594723,,,51_VG2107
1127 Hemp LLC,,1127-hemp-llc,cultivator,,,Center City,MN,55012,US,45.3938525,-92.8166023,,,27-20211608
13 Salomone Road LLC,,13-salomone-road-llc,cultivator,,,Claryville,NY,12725,US,41.918425,-74.5723785,,,36_0280
14 PEAKS LLC,,14-peaks-llc,cultivator,,,Hartsel,CO,804490000,US,39.0216594,-105.7958419,,,08-104667
210 REIGN LLC,,210-reign-llc,cultivator,,,BOERNE,TX,78006,US,29.7946641,-98.7319703,,,972673
2WIRE TECHNOLOGIES LLC,,2wire-technologies-llc,cultivator,,,AUSTIN,TX,78749,US,30.2175453,-97.8558357,,,963705
3 Buds,,3-buds,cultivator,,,grantsburg,WI,54840,US,45.7763419,-92.6827041,,,USDA_55_0076
3 Deans Farm,,3-deans-farm,cultivator,,,Lawrenceburg,TN,38464,US,35.2423023,-87.3347389,,,47_0003
3 Tall Pines,,3-tall-pines,cultivator,,,Plymouth,WI,53073,US,43.7486054,-87.9770379,,,USDA_55_0086
3C LABS LLC,,3c-labs-llc,cultivator,,,Fishers,IN,46038,US,39.9645049,-86.0223611,,,18_0235
3GCC LLC,,3gcc-llc,cultivator,,,ROCKDALE,TX,76567,US,30.6554759,-97.0013744,,,969597
3GCC LLC,,3gcc-llc,cultivator,,,ROCKDALE,TX,76567,US,30.6554759,-97.0013744,,,969601
4 Erratic Farm,,4-erratic-farm,cultivator,,,Skaneateles,NY,13152,US,42.947011,-76.4291017,,,36_0035
40 East Greenhouses,,40-east-greenhouses,cultivator,,,Beulaville,NC,28518,US,34.9237763,-77.7738667,,,USDA_37_0674
419 Hemp LLC,,419-hemp-llc,cultivator,,,St Cloud,MN,56301,US,45.4651346,-94.2515552,,,27-20211817
465 Farmstead Ltd.,,465-farmstead-ltd,cultivator,,,Hartford,SD,57033,US,43.6230323,-96.942555,,,46_0024
4-J Farms LLC,,4-j-farms-llc,cultivator,,,Yuma,AZ,85364,US,32.7056541,-114.678669,,,AZ-G190241
4-J Farms LLC,,4-j-farms-llc,cultivator,,,Yuma,AZ,85364,US,32.7056541,-114.678669,,,AZ-G190241
4K PHARM LLC,,4k-pharm-llc,cultivator,,,GIDDINGS,TX,78942,US,30.1827159,-96.936371,,,830961
5 Star Redneck Farm,,5-star-redneck-farm,cultivator,,,Saluda,NC,287738603,US,35.2360379,-82.3482872,,,USDA_37_0749
57 TOSUN ROAD LLC,,57-tosun-road-llc,cultivator,,,WOLCOTT,CT,,US,41.604736,-72.9696779,,,HEMP.000085.CT
603 Farmacy,,603-farmacy,cultivator,,,South Hampton,NH,,US,42.8983828,-70.9903438,,,USDA_33_0041
7H FARMS LLC,,7h-farms-llc,cultivator,,,SARAGOSA,TX,79780,US,31.0245647,-103.6556709,,,959153
7PHG,,7phg,cultivator,,,Kansas City,MO,64133,US,39.0177186,-94.4490836,,,USDA_29_0084
"802 Craft Cannabis, LLC",,802-craft-cannabis-llc,cultivator,,,Sudbury,VT,,US,43.8000754,-73.2046359,,,USDA_50_0002
9 Lives Safety,,9-lives-safety,cultivator,,,Concord,NC,28025,US,35.3898417,-80.5216184,,,USDA_37_0916
