name,dba,slug,dba_slug,type,is_breeder,is_bank,is_cultivator,is_dispensary,is_academic,url,is_bad_url,reason_code,street_address,city,state,zip_code,country,lat,lng,phone,email,license_usda,license_state,license_other,is_licensed,sells_seeds,schema_complete,last_verified,verified_by,submitted_at,submitted_by,evidence_url
Alaska Cannabis Cache,,alaska-cannabis-cache,,breeder,TRUE,FALSE,FALSE,FALSE,FALSE,http://www.alaskacannabiscache.com,FALSE,,,,AK,,USA,,,,,,,,,TRUE,,,,,,
AlleyCat Genetics,,alleycat-genetics,,breeder,TRUE,FALSE,FALSE,FALSE,FALSE,http://alleycatgenetics.com,FALSE,,,,AK,,USA,,,,,,,,,TRUE,,,,,,
Pyramid Seeds,,pyramid-seeds,,breeder,TRUE,FALSE,FALSE,FALSE,FALSE,http://www.piramideseeds.com,FALSE,,"Roca i Umbert, 15, bajos",L'Hospitalet de Llobregat,Barcelona,8907,Spain,,,34 664 36 75 77,info@pyramidseeds.news,,,,,TRUE,,,,,,
Grandiflora Genetics,,grandiflora-genetics,,breeder,TRUE,FALSE,FALSE,FALSE,FALSE,https://grandifloragenetics.com,FALSE,,,Oakland,CA,,USA,,,,,,TRUE,,,TRUE,,,,,,
Humboldt Seed Company,,humboldt-seed-company,,breeder,TRUE,FALSE,FALSE,FALSE,FALSE,https://humboldtseedcompany.com,FALSE,,,,CA,,USA,,,(707) 599-6646,,,TRUE,,,TRUE,,,,,,
Jyllene Genetics,,jyllene-genetics,,breeder,TRUE,FALSE,FALSE,FALSE,FALSE,http://www.jyllenegenetics.com,FALSE,,,San Ramon,CA,,USA,,,,hello@jyllenegenetics.com.,,TRUE,,,TRUE,,,,,,
Romulan Genetics,,romulan-genetics,,breeder,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.romulangenetics.com,FALSE,,PO BOX 1315,Placerville,CA,95667,USA,,,,positivesolutions805@yahoo.com,,TRUE,,,TRUE,,,,,,
Wizard Trees,,wizard-trees,,breeder,TRUE,FALSE,FALSE,FALSE,FALSE,https://wizardtreesgenetics.shop,FALSE,,1375 East 6th Street,Los Angeles,CA,90014,USA,,,(213) 281-0006,seeds@wizardtrees.com,,TRUE,,,TRUE,,,,,,
Aficionado French Connection,,aficionado-french-connection,,breeder,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.aficionadoseeds.com,FALSE,,,Emerald Triangle,CA,,USA,,,,,,,,,TRUE,,,,,,
Atlas Seed,,atlas-seed,,breeder,TRUE,FALSE,FALSE,FALSE,FALSE,https://atlasseed.com,FALSE,,,,CA,,USA,,,,,,,,,TRUE,,,,,,
Botafarm California,,botafarm-california,,breeder,TRUE,FALSE,FALSE,FALSE,FALSE,http://Botafarmcalifornia.com,FALSE,,,,CA,,USA,,,,,,,,,TRUE,,,,,,
CSI Humboldt,,csi-humboldt,,breeder,TRUE,FALSE,FALSE,FALSE,FALSE,https://humboldtcsi.com,FALSE,,,,CA,,USA,,,,,,,,,TRUE,,,,,,
Humboldt Seed Organisation,,humboldt-seed-organisation,,breeder,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.humboldtseeds.net,FALSE,,,Humboldt,CA,,USA,,,,,,,,,TRUE,,,,,,
James Loud Genetics,,james-loud-genetics,,breeder,TRUE,FALSE,FALSE,FALSE,FALSE,https://jamesloudgenetics.com,FALSE,,Greater Bay Area,Bay Area,CA,,USA,,,,,,,,,TRUE,,,,,,
Masonic Seeds,,masonic-seeds,,breeder,TRUE,FALSE,FALSE,FALSE,FALSE,https://masonicseeds.co,FALSE,,,Compton,CA,,USA,,,,,,,,,TRUE,,,,,,
Mendo Dope Farms,,mendo-dope-farms,,breeder,TRUE,FALSE,FALSE,FALSE,FALSE,https://mendodopefarms.com,FALSE,,,,CA,,USA,,,,,,,,,TRUE,,,,,,
Motherlode Seeds,,motherlode-seeds,,breeder,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.motherlodegardens.com,FALSE,,,near Yosemite,CA,,USA,,,,,,,,,TRUE,,,,,,
OA Seeds,,oa-seeds,,bank,FALSE,TRUE,FALSE,FALSE,FALSE,https://oaseeds.com,FALSE,,,,CA,,USA,,,,info@oaseedsusa.com,,,,,TRUE,,,,,,
Socal Seed Vault,,socal-seed-vault,,breeder,TRUE,FALSE,FALSE,FALSE,FALSE,http://www.socalseedvault.com,FALSE,,,Southern California,CA,,USA,,,,,,,,,TRUE,,,,,,
Twenty 20 Genetics,,twenty-20-genetics,,breeder,TRUE,FALSE,FALSE,FALSE,FALSE,https://twenty20mendocino.com,FALSE,,47730 Woodruff Rd,Laytonville,CA,95540,USA,,,,,,,,,TRUE,,,,,,
Universally Seeded,,universally-seeded,,breeder,TRUE,FALSE,FALSE,FALSE,FALSE,http://universallyseeded.com,FALSE,,,Northern California,CA,,USA,,,,,,,,,TRUE,,,,,,
Wonderbrett's Byrd Seed,,wonderbretts-byrd-seed,,breeder,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.wonderbrett.com,FALSE,,,,CA,,USA,,,,,,,,,TRUE,,,,,,
Purple City Genetics,,purple-city-genetics,,breeder,TRUE,FALSE,FALSE,FALSE,FALSE,https://purplecitygenetics.com,FALSE,,,Oakland,CA,,USA,,,(510) 508-1029,auryn@purplecitygenetics.com,,TRUE,,,TRUE,,,,,,
Jungle Boys,,jungle-boys,,breeder,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.jungleboys.com,FALSE,,1530 S Alameda St,Los Angeles,CA | FL,,USA,,,213-221-4043,,,TRUE,,,TRUE,,,,,,
Free World Genetics,SEAL INDUSTRIES LLC,free-world-genetics,seal-industries-llc,breeder,TRUE,FALSE,FALSE,FALSE,FALSE,https://freeworldgenetics.com,FALSE,,6390 Gunpark Drive Unit B,Boulder,CO,80301,USA,40.07001526,-105.2047498,303 530 6941,austin@freeworldgenetics.com,,TRUE,,,TRUE,,,,,,
Rare Dankness Seeds,,rare-dankness-seeds,,breeder,TRUE,FALSE,FALSE,FALSE,FALSE,http://raredankness.com,FALSE,,10555 East 45th Avenue,Denver,CO,80239,USA,39.77891556,-104.8650427,,Info@RareDankness.com,,TRUE,,,TRUE,,,,,,
Colorado Seed Inc.,,colorado-seed-inc,,breeder,TRUE,FALSE,FALSE,FALSE,FALSE,https://coloradoseedinc.com,FALSE,,,Boulder,CO,,USA,,,,,,,,,TRUE,,,,,,
Exclusive Seeds,,exclusive-seeds,,breeder,TRUE,FALSE,FALSE,FALSE,FALSE,http://www.exclusiveseedscolorado.com,FALSE,,,Colorado,CO,,USA,,,,,,,,,TRUE,,,,,,
