name,address
20 Chromosomes,"21701 Stevens Creek Blvd Suite 2611, Cupertino, CA 95015"
"3 Star Lettuce, LLC","PO Box 940, Gonzales, CA 93926"
A Seed Company Inc.,"399 Broadway Dr., Brea, CA 92821"
A. L. GIlbert Company,"PO Box 160, Keyes, CA 95328"
Abate-A-Weed Inc.,"9411 Rosedale Hwy, Bakersfield, CA 93312"
Aberle Acres Ranch,"21712 Adobe Road, Bakersfield, CA 93307"
ABHGardening LLC,"1225 Airport Park Blvd. #1062, Ukiah, CA 95482"
ACH Seeds,"5705 W. Old Shakopee Rd. Suite 110, Bloomington, MN 55437"
Adams Grain Co.,"PO Box 799, Arbuckle, CA 95912"
Advanta US LLC,"8872 HSC Parkway Suite 402, Bryan, TX 77807"
"AeroGrow International, Inc","14111 Scottslawn Road, Marysville, OH 43041"
AG Lawnmower Shop,"12707 Foothill Blvd., Sylmar, CA 91342"
AG RX,"751 S. Rose Ave., Oxnard, CA 93030"
Agave Sauve,"247 Bailey Rd. #18, Bay Point, CA 94555"
AgReliant Genetics LLC,"1122 E 169th Street, Westfield, IN 46074"
Agrifor Seeds LLC,"38267 Griggs Dr., Lebanon, OR 97355"
AgriGold,"1122 E 169th Street, Westfield, IN 46074"
"Agri-Turf Distributing, LLC","10551 Hathaway Drive, Santa Fe Springs, CA 90670"
Agriyeda Inc.,"40935 Avenida Arcada, Palm Desert, CA 92260"
Agrono-Tec Seed Co,"PO Box 1045, Morgan, UT 84050"
AgSeeds Unlimited,"28 N East Street, Woodland, CA 95776"
"Ahern Agribusiness, Inc.","9465 Customhouse Plaza Ste. G, San Diego, CA 92154"
Ahern International Inc.,"9465 Customhouse Plaza Ste. G, San Diego, CA 92154"
"Ahern International Seeds, Inc.","9465 Customhouse Plaza Ste. G, San Diego, CA 92154"
Ahern Seeds Inc.,"9465 Customhouse Plaza Ste. G, San Diego, CA 92154"
Alarcon Building Materials Inc.,"4308 S. Broadway, Los Angeles, CA 90037"
Albert Lea Seed House,"1414 W Main Street, PO Box 127, Albert Lea, MN 56007"
Allied Seed LLC,"9311 Highway 45, Nampa, ID 83686"
Allstar Seed Company,"2015 Silsbee Road, El Centro, CA 92243"
Alpha Seeds Inc.,"4125 Market Street, Unit 1, Ventura, CA 93003"
American Pima Seed,"PO Box 1440, Maricopa, AZ 85139"
American Pool Supply,"7440 State Highway 121, McKinney, TX 75070"
"American Takii, Inc.","301 Natividad Road, Salinas, CA 93906"
America's Alfalfa,"PO Box 64589, St. Paul, MN 55164"
"Amerland Company, LLC","33581 Mallard St, Woodland, CA 95695"
"Ampac Seed Co., Inc.","PO Box 318, Tangent, OR 97389"
Amturf Enterprises LLC,"13963 Westside Ln S, Jefferson, OR 97352"
Andrew's Lawnmower Shop,"13613 Van Nuys Blvd, Pacoima, CA 91331"
