name,dba,slug,dba_slug,type,url,is_bad_url,street_address,city,state,zip_code,country,lat,lng,phone,email,license_state
1:11,1-11 LLC,111,1-11-llc,cultivator|dispensary,,,54414 County Road F,Center,CO,81125,US,37.82099554,-106.0115318,,,403R-00537
1:11,1-11 LLC,111,1-11-llc,dispensary,,,54414 County Road F,Center,CO,81125,US,37.82099554,-106.0115318,,,404R-00138
1:11,1-11 LLC,111,1-11-llc,dispensary,,,17034 Highway 17,Moffat,CO,81143,US,37.9932015,-105.907276,,,402-01197
1:11,1-11 LLC,111,1-11-llc,dispensary,,,17034 Highway 17,Moffat,CO,81143,US,37.9932015,-105.907276,,,402R-00581
"Mbioteq, LLC","Mbioteq, LLC",mbioteq-llc,mbioteq-llc,other,,,,,CA,,US,,,(213) 448-9245,Alant311@gmail.Com,DCC-10003395
Gold Leaf Distribution LLC,Gold Leaf Distribution LLC,gold-leaf-distribution-llc,gold-leaf-distribution-llc,other,,,,,CA,,US,,,(928) 358-7308,Glddistro@gmail.Com,C11-0001982-LIC
Aunt Mary's Dispensary,,aunt-marys-dispensary,,other,,,100 Reaville Ave,Flemington,NJ,08822,US,40.49891253,-74.85247719,,,
Benedict's Supply,,benedicts-supply,,other,,,3523 John F. Kennedy Blvd,Jersey City,NJ,07307,US,40.75217622,-74.05327335,,,
Brute's Roots,,brutes-roots,,other,,,6206 Black Horse Pike,Egg Harbor Township,NJ,08234,US,39.43063122,-74.60334336,,,
Brute's Roots-Paulsboro,,brutes-roots-paulsboro,,other,,,2001 S Delaware St,Paulsboro,NJ,08066,US,39.82290516,-75.23619246,,,
Buddy's Dispensary,,buddys-dispensary,,other,,,203 Main St 1st Floor,Andover,NJ,07821,US,40.99542042,-74.74358039,,,
Cuzzie's,,cuzzies,,other,,,2750 Mt Ephraim Ave,Camden,NJ,08104,US,39.90977647,-75.09808239,,,
Evergreen Nature's Remedy,,evergreen-natures-remedy,,other,,,1242 NJ-23,Butler,NJ,07405,US,40.9911078,-74.3410549,,,
Herb's Premium Dispensary,,herbs-premium-dispensary,,other,,,757 Franklin Blvd,Somerset,NJ,08873,US,40.48344894,-74.47945562,,,
Jester's Joint,,jesters-joint,,other,,,70 Easton Ave,New Brunswick,NJ,08901,US,40.4980894,-74.44975649,,,
Rollin' Green,,rollin-green,,other,,,1011 Arctic Ave,Atlantic City,NJ,08401,US,39.36567133,-74.42425776,,,
Shipwreck'd,,shipwreckd,,other,,,300 W Sylvania Ave,Neptune City,NJ,07753,US,40.2053658,-74.0465362,,,
Sweet Leaf's LLC,,sweet-leafs-llc,,other,,,21 S Tennessee Ave,Atlantic City,NJ,08401,US,39.36154301,-74.42760047,,,
#HASHTAG,,hashtag,,dispensary,,,224 NICKERSON ST,SEATTLE,WA,981091622,US,47.64757853,-122.3527488,5042315918,,430562
"Extract Solutions, Inc.","Extract Solutions, Inc.",extract-solutions-inc,extract-solutions-inc,other,,,,,CA,,US,,,(224) 628-2313,Sergej@extractsolutionsinc.Com,C11-0002075-LIC
"Extract Solutions, Inc.","Extract Solutions, Inc.",extract-solutions-inc,extract-solutions-inc,other,,,,,CA,,US,,,(224) 628-2313,Sergej@extractsolutionsinc.Com,DCC-10005108
"The Micro Buddery, Inc.","The Micro Buddery, Inc.",micro-buddery-inc,micro-buddery-inc,other,,,66321 Pierson Blvd,DSRT Hot SPGS,CA,92240,US,33.961151,-116.504506,(833) 278-3379,Lynnmbyrnes@gmail.Com,C12-0000218-LIC
Dreams Dispensary,DREAMS DISPENSARY LLC,dreams-dispensary,dreams-dispensary-llc,dispensary,,,,Willamette St Eugene,OR,97401-3512,US,44.0474114,-123.0924724,,,050-23242
Hong Kong LLC [Equity Retailer],Hong Kong LLC [Equity Retailer],hong-kong-llc-equity-retailer,hong-kong-llc-equity-retailer,dispensary,,,7537 Reseda Blvd,Reseda,CA,91335,US,34.207667,-118.536336,(818) 425-0616,Rezashongkong@gmail.Com,C10-0001628-LIC
"Flower Supply, Inc. [Equity Retailer]","Flower Supply, Inc. [Equity Retailer]",flower-supply-inc-equity-retailer,flower-supply-inc-equity-retailer,dispensary,,,2649 41st Ave,Soquel,CA,95073,US,36.985194,-121.965793,(831) 708-5606,Admin@cultivatecannabis.Com,C10-0001073-LIC
"Santa Ana Ventures, Inc.","Santa Ana Ventures, Inc.",santa-ana-ventures-inc,santa-ana-ventures-inc,dispensary,,,1821 Newport Cir,Santa Ana,CA,92705,US,33.719178,-117.842867,(760) 552-5446,Santaanaventures2023@gmail.Com,C10-0000815-LIC
10 Spot,"The 10 Spot, Inc.",10-spot,10-spot-inc,dispensary,,,2700 Shannon St S,Santa Ana,CA,92704,US,33.711273,-117.923034,(949) 480-8001,Rishi@jaderoom.Com,C10-0000400-LIC
100 Gram Dash,"100 Gram Dash, LLC",100-gram-dash,100-gram-dash-llc,dispensary,,,,,CA,,US,,,(323) 636-1344,Kristopherbrown3404@gmail.Com,C9-0000853-LIC
"101 E. Chesapeake Ave., Suite 102",,101-e-chesapeake-ave-suite-102,,other,,,,Towson,MD,21286,US,39.4109996,-76.5777203,410-842-9333,maria.pinsky@zenleafdispensaries.com,
10th Street Cannabis Co.,"Btd, Inc.",10th-street-cannabis-co,btd-inc,other,,,2121 10th St S,San Jose,CA,95112,US,37.309848,-121.856931,(408) 881-2391,Duongqt@gmail.Com,C12-0000219-LIC
10TH STREET FACILITIES LLC,,10th-street-facilities-llc,,other,,,,,CA,,US,,,(205) 523-4966,10thstfacilities@gmail.Com,C11-0000596-LIC
112TH STREET CANNABIS,,112th-street-cannabis,,dispensary,,,5809 112TH ST E BLDG B,PUYALLUP,WA,98373,US,47.15465147,-122.3515685,2067926857,,423413
1130nafide [Equity Retailer],Divino Tessera LLC [Equity Retailer],1130nafide-equity-retailer,divino-tessera-llc-equity-retailer,dispensary,,,7570 San Fernando Rd,Sun Valley,CA,91352,US,34.209406,-118.353586,(310) 350-1650,Tesseradivino@gmail.Com,C10-0001283-LIC
1136 YUMA,YUMA WAY LLC,1136-yuma,yuma-way-llc,dispensary,,,1136 North Yuma Court,Denver,CO,80204,US,39.73426979,-105.0148195,,,402R-00613
12 PEAKS FARMS,PG GROW II LLC,12-peaks-farms,pg-grow-ii-llc,cultivator,,,7800 County Road 152,Salida,CO,81201,US,38.548042,-106.0207479,,,403-00160
12 PEAKS FARMS,PG GROW II LLC,12-peaks-farms,pg-grow-ii-llc,cultivator|dispensary,,,7800 County Road 152,Salida,CO,81201,US,38.548042,-106.0207479,,,403R-00301
12 PEAKS FARMS,PG GROW II LLC,12-peaks-farms,pg-grow-ii-llc,other,,,7800 County Road 152,Salida,CO,81201,US,38.548042,-106.0207479,,,404-00477
12 PEAKS FARMS,PG GROW II LLC,12-peaks-farms,pg-grow-ii-llc,dispensary,,,7800 County Road 152,Salida,CO,81201,US,38.548042,-106.0207479,,,404R-00164
12001 Nebel St,,12001-nebel-st,,other,https://libertycannabis.com,,,Rockville,MD,20852,US,39.0542102,-77.1197521,301-603-2747,hello@libertycannabis.com,
"1244 Long Beach Distro, LLC",,1244-long-beach-distro-llc,,other,,,,,CA,,US,,,(949) 241-4229,Lbdistrolicensing@gmail.Com,C11-0001927-LIC
"130 WILLOW CREEK OPCO, LLC",,130-willow-creek-opco-llc,,other,,,,,CA,,US,,,(949) 727-4333,Licensing@peloruscg.Com,DCC-10005118
"130 WILLOW CREEK OPCO, LLC",,130-willow-creek-opco-llc,,other,,,,,CA,,US,,,(949) 727-4333,Rob@peloruscg.Com,C11-0002056-LIC
13859 Saticoy,"Mcd Services, LLC",13859-saticoy,mcd-services-llc,other,,,,,CA,,US,,,(209) 800-4444,McdservicesLLC13859@gmail.Com,DCC-10005092
14707 45th LLC,,14707-45th-llc,,dispensary,https://middletownindoor.com,,844 Rt-211,Wallkill,NY,10941,US,41.46616,-74.34784,,,OCM-RETL-25-000304
14ER GARDENS,SUSTAINABLE HEALTH LLC,14er-gardens,sustainable-health-llc,cultivator|dispensary,,,"4700 Sterling Drive, Suite A",Boulder,CO,80301,US,40.02724781,-105.2437093,,,403R-01091
14ER GARDENS,SUSTAINABLE HEALTH LLC,14er-gardens,sustainable-health-llc,cultivator,,,1840 Commerce Street Units D & E,Boulder,CO,80301,US,40.01853656,-105.2319015,,,403-00685
14ER GARDENS,SUSTAINABLE HEALTH LLC,14er-gardens,sustainable-health-llc,cultivator|dispensary,,,"1840 Commerce Street Units A, B, and C",Boulder,CO,80301,US,40.01853656,-105.2319015,,,403R-00268
14ER HOLISTICS,SUSTAINABLE HEALTH LLC,14er-holistics,sustainable-health-llc,dispensary,,,"2897 Mapleton Avenue, Suite 800",Boulder,CO,80301,US,40.02553855,-105.2538605,,,402R-00208
