name,dba,slug,dba_slug,type,is_breeder,is_bank,is_cultivator,is_dispensary,is_academic,url,is_bad_url,reason_code,street_address,city,state,zip_code,country,lat,lng,phone,email,license_usda,license_state,license_other,is_licensed,schema_complete,last_verified,verified_by,submitted_at,submitted_by,evidence_url
00 Seeds Bank,,00-seeds-bank,,,,,,,,http://www.00seeds.com,false,,,,,,,,,,,,,,,,,,,,
0siris Genetics,,0siris-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Guns and a Guy Seed Company,,2-guns-and-a-guy-seed-company,,,,,,,,https://2gunsandaguy.com,false,,,,,,,,,,,,,,,,,,,,
2Buds Genetics,,2buds-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3rd Coast Genetics,,3rd-coast-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3rd Shift Genetics,,3rd-shift-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3thirteen Seeds,,3thirteen-seeds,,,,,,,,https://phenohunter.org,false,,,,,,,,,,,,,,,,,,,,
3x3me,,3x3me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:20 Seeds,,420-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4c_zen Genetics,,4c-zen-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4smashed20,,4smashed20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Pack Genetics,,5-pack-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 East Genetics,,7-east-genetics,,,,,,,,https://www.7eastgenetics.com,false,,,,,,,,,,,,,,,,,,,,
7th Green Skunk Genetics,,7th-green-skunk-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11s Genetics,,11s-genetics,,,,,,,,https://11sgenetics.com,false,,,,,,,,,,,,,,,,,,,,
13 Hills,,13-hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34 Street Seed Company,,34-street-seed-company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93orNothing,,93ornothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108Genetics,,108genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207 Genetics,,207-genetics,,,,,,,,http://207genetics.com,false,,,,,,,,,,,,,,,,,,,,
207 Seeds,,207-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210Beans,,210beans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303 Seeds,,303-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360grow420 Genetics,,360grow420-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420 Genetics,,420-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420 Seeds,,420-seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517 Legend Seed Co,,517-legend-seed-co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593 Genetics,,593-genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
