index,name,name_slug,dba,dba_slug,type,url,street_address,city,state,zip_code,country,lat,lng,phone,email,license_usda,license_state,license_other,delivery,sells_seeds,duplicate
US-0000001,"""BITE ONE""""S LIP LLC""",bite-ones-lip-llc,Deanz Greenz,deanz-greenz,dispensary,,10415,Ne Sandy Blvd Portland,OR,97220-3364,US,45.5591436,-122.5553693,,,,050-1003518CE3D,FALSE,FALSE,TRUE,FALSE
US-0000002,"""BITE ONE""""S LIP LLC""",bite-ones-lip-llc,Deanz Greenz,deanz-greenz,dispensary,,5625 SE 85TH,Ave Unit B Portland,OR,97266-4880,US,45.48165911,-122.5759533,,,,050-100352226E9,FALSE,FALSE,TRUE,FALSE
US-0000003,#HASHTAG,hashtag,#HASHTAG,hashtag,dispensary,,224 NICKERSON ST,SEATTLE,WA,981091622,US,47.64757853,-122.3527488,5042315918,,,430562,FALSE,FALSE,TRUE,FALSE
US-0000004,"1 Vertical, Inc.",1-vertical-inc,420 Central,420-central,dispensary,,420 Central Ave W,Santa Ana,CA,92707,US,33.713258,-117.87319,(949) 434-2125,Robert@420central.Org,,C10-0000329-LIC,FALSE,FALSE,TRUE,TRUE
US-0000005,1 West Ave Enterprise LLC,1-west-ave-enterprise-llc,1 West Ave Enterprise LLC,1-west-ave-enterprise-llc,cultivator,,,,CA,,US,,,(408) 712-5070,1westavenueenterprises@gmail.Com,,CCL23-0000119,FALSE,FALSE,TRUE,FALSE
US-0000006,10 Mile Gardens,10-mile-gardens,10 Mile Gardens,10-mile-gardens,cultivator,,,,CA,,US,,,(707) 326-1356,C.Harms5711@gmail.Com,,CCL23-0000608,FALSE,FALSE,TRUE,FALSE
US-0000007,"100 Gram Dash, LLC",100-gram-dash-llc,100 Gram Dash,100-gram-dash,dispensary,,,,CA,,US,,,(323) 636-1344,Kristopherbrown3404@gmail.Com,,C9-0000853-LIC,FALSE,FALSE,TRUE,TRUE
US-0000008,100 North 3rd Ltd,100-north-3rd-ltd,7 Leaf Clover,7-leaf-clover,dispensary,,132 Metropolitan Ave,Brooklyn,NY,11249,US,40.71622,-73.96253,,,,OCM-RETL-25-000306,FALSE,FALSE,TRUE,FALSE
US-0000009,101 Gardens LLC,101-gardens-llc,101 Gardens LLC,101-gardens-llc,cultivator,,,,CA,,US,,,(415) 994-8524,Agustin.Rhyzl@gmail.Com,,CCL22-0001926,FALSE,FALSE,TRUE,FALSE
US-0000010,"101 Ranch, LLC",101-ranch-llc,"101 Ranch, LLC",101-ranch-llc,cultivator,,,,CA,,US,,,(707) 380-3188,Jamie@henrysoriginal.Com,,CCL19-0001236,FALSE,FALSE,TRUE,FALSE
US-0000011,"101 Ranch, LLC",101-ranch-llc,"101 Ranch, LLC",101-ranch-llc,cultivator,,,,CA,,US,,,(707) 841-6023,Joshua@henrysoriginal.Com,,CCL24-0000904,FALSE,FALSE,TRUE,FALSE
US-0000012,1022 S ROYER LLC,1022-s-royer-llc,HIGHTOPS,hightops,cultivator|dispensary,,1022 South Royer Street,Colorado Springs,CO,80903,US,38.81955613,-104.8154517,,,,403-00164|402-00116|402R-01100,FALSE,FALSE,TRUE,FALSE
US-0000013,10232 LLC,10232-llc,PROVISIONS,provisions,dispensary,,10232 Interstate 25,Walsenburg,CO,81089,US,37.6179371,-104.7578822,,,,402R-00739,FALSE,FALSE,TRUE,FALSE
US-0000014,10TH STREET FACILITIES LLC,10th-street-facilities-llc,10TH STREET FACILITIES LLC,10th-street-facilities-llc,other,,,,CA,,US,,,(205) 523-4966,10thstfacilities@gmail.Com,,C11-0000596-LIC,FALSE,FALSE,TRUE,FALSE
US-0000015,"10TH STREET FACILITIES, LLC",10th-street-facilities-llc,"10TH STREET FACILITIES, LLC",10th-street-facilities-llc,cultivator,,,,CA,,US,,,(205) 523-4966,10thstfacilities@gmail.Com,,CCL19-0002577,FALSE,FALSE,TRUE,FALSE
US-0000016,1106 REBECCA ST LIMITED LIABILITY COMPANY,1106-rebecca-st-limited-liability-company,HERBOLOGY,herbology,dispensary,,304 Ellery St,Brooklyn,NY,11206,US,40.6994,-73.94016,,,,OCM-CAURD-24-000177,FALSE,FALSE,TRUE,FALSE
US-0000017,1-11 LLC,1-11-llc,1:11,111,dispensary,,17034 Highway 17,Moffat,CO,81143,US,37.9932015,-105.907276,,,,402-01197|402R-00581,FALSE,FALSE,TRUE,FALSE
US-0000018,1-11 LLC,1-11-llc,1:11,111,cultivator|dispensary,,54414 County Road F,Center,CO,81125,US,37.82099554,-106.0115318,,,,403R-00537|404R-00138,FALSE,FALSE,TRUE,FALSE
US-0000019,"1111 FEE DRIVE, LLC",1111-fee-drive-llc,"1111 FEE DRIVE, LLC",1111-fee-drive-llc,cultivator,,,,CA,,US,,,(916) 416-8727,Fred@greencoastindustries.Com,,CCL21-0003614,FALSE,FALSE,TRUE,FALSE
US-0000020,112TH STREET CANNABIS,112th-street-cannabis,112TH STREET CANNABIS,112th-street-cannabis,dispensary,,5809 112TH ST E BLDG B,PUYALLUP,WA,98373,US,47.15465147,-122.3515685,2067926857,,,423413,FALSE,FALSE,TRUE,FALSE
US-0000021,11500 Vermont Holdings LLC,11500-vermont-holdings-llc,Catalyst - South Figueroa,catalyst-south-figueroa,dispensary,,10020 Figueroa St S,Los Angeles,CA,90003,US,33.944927,-118.282168,(562) 370-3780,Elliotlewis6700@catalystcannabis.Co,,C10-0001177-LIC,FALSE,FALSE,TRUE,FALSE
US-0000022,11821 NE GLISAN LLC,11821-ne-glisan-llc,kaleafa,kaleafa,dispensary,,11821,Ne Glisan St Portland,OR,97220-2142,US,45.5265303,-122.540484,,,,050-10088926F6F,FALSE,FALSE,TRUE,TRUE
US-0000023,12071 Wilshire Retail LLC [Equity Retailer],12071-wilshire-retail-llc-equity-retailer,Velvet Cannabis [Equity Retailer],velvet-cannabis-equity-retailer,dispensary,,12071 Wilshire Blvd,Los Angeles,CA,90025,US,34.044557,-118.467263,(925) 899-2023,Farid@velvetcannabis.Com,,C10-0001254-LIC,FALSE,FALSE,TRUE,TRUE
US-0000024,123 PACIFIC HIGHWAY LLC,123-pacific-highway-llc,Kaleafa,kaleafa,dispensary,,11540,Sw Pacific Hwy Tigard,OR,97223-8667,US,45.4404395,-122.7492355,,,,050-10171104DF0,FALSE,FALSE,TRUE,TRUE
US-0000025,"1244 Long Beach Distro, LLC",1244-long-beach-distro-llc,"1244 Long Beach Distro, LLC",1244-long-beach-distro-llc,other,,,,CA,,US,,,(949) 241-4229,Lbdistrolicensing@gmail.Com,,C11-0001927-LIC,FALSE,FALSE,TRUE,FALSE
US-0000026,"1261 Wishon Opco, LLC",1261-wishon-opco-llc,Dr. Greenthumb's Fresno,dr-greenthumbs-fresno,dispensary,,1264 Wishon Ave N,Fresno,CA,93728,US,36.7588478,-119.8007718,(714) 448-3649,Licensing@trp.Com,,C10-0001101-LIC,FALSE,FALSE,TRUE,FALSE
US-0000027,"127 IL, LLC",127-il-llc,High Profile - Metropolis,high-profile-metropolis,other,,1801 E 5th St,Metropolis,IL,62960,US,37.1624652,-88.7012828,(618) 940-1900,,,284.000314-AUDO,FALSE,FALSE,TRUE,FALSE
US-0000028,130 Willow Creek OpCo LLC,130-willow-creek-opco-llc,130 Willow Creek OpCo LLC,130-willow-creek-opco-llc,cultivator,,,,CA,,US,,,(858) 776-1298,Rob@peloruscg.Com,,CCL24-0000853,FALSE,FALSE,TRUE,FALSE
US-0000029,"130 Willow Creek OpCo, LLC",130-willow-creek-opco-llc,"130 Willow Creek OpCo, LLC",130-willow-creek-opco-llc,cultivator,,,,CA,,US,,,(858) 776-1298,Rob@peloruscg.Com,,CCL24-0000850,FALSE,FALSE,TRUE,FALSE
US-0000030,"130 Willow Creek OpCo, LLC",130-willow-creek-opco-llc,"130 Willow Creek OpCo, LLC",130-willow-creek-opco-llc,cultivator,,,,CA,,US,,,(858) 776-1298,Rob@peloruscg.Com,,CCL24-0000851,FALSE,FALSE,TRUE,FALSE
US-0000031,"130 Willow Creek OpCo, LLC",130-willow-creek-opco-llc,"130 Willow Creek OpCo, LLC",130-willow-creek-opco-llc,cultivator,,,,CA,,US,,,(858) 776-1290,Rob@peloruscg.Com,,CCL24-0000852,FALSE,FALSE,TRUE,TRUE
US-0000032,"130 Willow Creek OpCo, LLC",130-willow-creek-opco-llc,"130 Willow Creek OpCo, LLC",130-willow-creek-opco-llc,cultivator,,,,CA,,US,,,(858) 776-1298,Rob@peloruscg.Com,,CCL24-0000854,FALSE,FALSE,TRUE,FALSE
US-0000033,"130 Willow Creek OpCo, LLC",130-willow-creek-opco-llc,"130 Willow Creek OpCo, LLC",130-willow-creek-opco-llc,cultivator,,,,CA,,US,,,(858) 776-1298,Rob@peloruscg.Com,,CCL24-0000855,FALSE,FALSE,TRUE,FALSE
US-0000034,"130 WILLOW CREEK OPCO, LLC",130-willow-creek-opco-llc,"130 WILLOW CREEK OPCO, LLC",130-willow-creek-opco-llc,other,,,,CA,,US,,,(949) 727-4333,Rob@peloruscg.Com,,C11-0002056-LIC,FALSE,FALSE,TRUE,FALSE
US-0000035,"130 WILLOW CREEK OPCO, LLC",130-willow-creek-opco-llc,"130 WILLOW CREEK OPCO, LLC",130-willow-creek-opco-llc,other,,,,CA,,US,,,(949) 727-4333,Licensing@peloruscg.Com,,DCC-10005118,FALSE,FALSE,TRUE,FALSE
US-0000036,1310 FACTORY CIRCLE LLC,1310-factory-circle-llc,NATURE'S HERBS & WELLNESS CENTER OF FORT LUPTON,natures-herbs-wellness-center-of-fort-lupton,dispensary,,1310 Factory Circle Unit A,Fort Lupton,CO,80621,US,40.09307498,-104.8140749,,,,402R-01041,FALSE,FALSE,TRUE,FALSE
US-0000037,1395 SOUTH ACOMA LLC,1395-south-acoma-llc,STELLAR DECON; STELLAR CANNABIS,stellar-decon-stellar-cannabis,cultivator|dispensary,,1395 South Acoma Street,Denver,CO,80223,US,39.69129959,-104.9887708,,,,403-01080|403R-01454,FALSE,FALSE,TRUE,FALSE
US-0000038,14 Hayfork Holdings LLC,14-hayfork-holdings-llc,14 Hayfork Holdings LLC,14-hayfork-holdings-llc,cultivator,,,,CA,,US,,,(510) 798-6937,Horsetailhill420@outlook.Com,,CCL25-0000345,FALSE,FALSE,TRUE,FALSE
US-0000039,"1400 LA, LLC",1400-la-llc,"1400 LA, LLC",1400-la-llc,cultivator,,,,CA,,US,,,(510) 600-5033,Rbaker@douglaswilson.Com,,CCL19-0005291,FALSE,FALSE,TRUE,FALSE
US-0000040,1409 OAK STREET LLC,1409-oak-street-llc,Happy Haze,happy-haze,dispensary,,1409,Oak St Eugene,OR,97401-4007,US,44.0442364,-123.0909372,,,,050-10246757EF5,FALSE,FALSE,TRUE,FALSE
US-0000041,"1416 Elwood, LLC",1416-elwood-llc,"1416 Elwood, LLC",1416-elwood-llc,other,,,,CA,,US,,,(424) 222-2444,1416elwood@gmail.Com,,C11-0001658-LIC,FALSE,FALSE,TRUE,FALSE
US-0000042,"1416 Elwood, LLC",1416-elwood-llc,"1416 Elwood, LLC",1416-elwood-llc,cultivator,,,,CA,,US,,,(424) 222-2444,1416elwood@gmail.Com,,CCL22-0000263,FALSE,FALSE,TRUE,FALSE
US-0000043,1450 SE ORIENT LLC,1450-se-orient-llc,Kaleafa Gresham,kaleafa-gresham,dispensary,,1450,Se Orient Dr Gresham,OR,97080-6219,US,45.4863854,-122.397103,,,,050-10051364EB2,FALSE,FALSE,TRUE,FALSE
US-0000044,14707 45th LLC,14707-45th-llc,14707 45th LLC,14707-45th-llc,dispensary,www.middletownindoor.com,844 Rt-211,Wallkill,NY,10941,US,41.46616,-74.34784,,,,OCM-RETL-25-000304,FALSE,FALSE,TRUE,FALSE
US-0000045,"1485 West Sunset And Hope, LLC [Equity Retailer]",1485-west-sunset-and-hope-llc-equity-retailer,Sixty Four & Hope [Equity Retailer],sixty-four-hope-equity-retailer,dispensary,,1485 Sunset Blvd W,Los Angeles,CA,90026,US,34.075872,-118.254625,(951) 474-2141,Mgaredew062@gmail.Com,,C10-0001075-LIC,FALSE,FALSE,TRUE,FALSE
US-0000046,14901 Sherman Way LLC [Equity Retailer],14901-sherman-way-llc-equity-retailer,Valley Verde [Equity Retailer],valley-verde-equity-retailer,dispensary,,14903 Sherman Way W,Van Nuys,CA,91405,US,34.201628,-118.457693,(818) 599-2447,14901licensing@gmail.Com,,C10-0000839-LIC,FALSE,FALSE,TRUE,FALSE
US-0000047,"1539 Manchester Holdings, LLC [Equity Retailer]",1539-manchester-holdings-llc-equity-retailer,CATALYST - NORMANDIE [Equity Retailer],catalyst-normandie-equity-retailer,dispensary,,8300 Normandie Ave S,Los Angeles,CA,90044,US,33.963444,-118.299929,(562) 370-3780,Timlewis6700@gmail.Com,,C10-0001165-LIC,FALSE,FALSE,TRUE,FALSE
US-0000048,1540 7th Inc,1540-7th-inc,1540 7th Inc.,1540-7th-inc,other,,,,CA,,US,,,(562) 522-0300,Jlarios123@hotmail.Com,,DCC-10004764,FALSE,FALSE,TRUE,FALSE
US-0000049,1542 7TH INC,1542-7th-inc,1542 7TH INC,1542-7th-inc,other,,,,CA,,US,,,(716) 225-8735,Denisapiccione@gmail.Com,,C11-0000474-LIC,FALSE,FALSE,TRUE,FALSE
